date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:29:24	5727/5727	---M-Z	200	added ('OK')	application/javascript	etag:%22ea476181a36dbcb2a4aa8f4669a8c9830f87b0cb%22	https://lms.kyonggi.ac.kr/theme/jquery.php/theme_coursemosv2/gcal.js	/home/nse_project/lms.kyonggi.ac.kr/theme/jquery.php/theme_coursemosv2/gcal.js	(from https://lms.kyonggi.ac.kr/login.php)
01:29:25	345293/345293	---MCZ	200	added ('OK')	application/javascript	etag:%22198697a71ac96edc00d51cbaeff7e0fd5b5ab21b%22	https://lms.kyonggi.ac.kr/theme/jquery.php/theme_coursemosv2/fullcalendar.js	/home/nse_project/lms.kyonggi.ac.kr/theme/jquery.php/theme_coursemosv2/fullcalendar.js	(from https://lms.kyonggi.ac.kr/login.php)
01:29:25	19482/19482	---M-Z	200	added ('OK')	application/javascript	etag:%222d751f0ff27362e9e467948cd93e39469a0682a6%22	https://lms.kyonggi.ac.kr/theme/jquery.php/theme_coursemosv2/jquery.filedownload.js	/home/nse_project/lms.kyonggi.ac.kr/theme/jquery.php/theme_coursemosv2/jquery.filedownload.js	(from https://lms.kyonggi.ac.kr/login.php)
01:29:26	19486/19486	---M-Z	200	added ('OK')	application/javascript	etag:%22c8eb9a6c1552b02fbca4117723fe2ac40289700a%22	https://lms.kyonggi.ac.kr/theme/jquery.php/theme_coursemosv2/timer.jquery.js	/home/nse_project/lms.kyonggi.ac.kr/theme/jquery.php/theme_coursemosv2/timer.jquery.js	(from https://lms.kyonggi.ac.kr/login.php)
01:29:27	2430/2430	---M-Z	200	added ('OK')	application/javascript	etag:%228c1e977e8ca47b4ed9e6618eb0301b6e894f2731%22	https://lms.kyonggi.ac.kr/theme/jquery.php/theme_coursemosv2/jquery.validate.en.js	/home/nse_project/lms.kyonggi.ac.kr/theme/jquery.php/theme_coursemosv2/jquery.validate.en.js	(from https://lms.kyonggi.ac.kr/login.php)
01:29:29	45479/45479	---MCZ	200	added ('OK')	application/javascript	etag:%226c08e995321198e2a4c33dd401aa2064cce77eb2%22	https://lms.kyonggi.ac.kr/theme/jquery.php/theme_coursemosv2/jquery.mCustomScrollbar.concat.min.js	/home/nse_project/lms.kyonggi.ac.kr/theme/jquery.php/theme_coursemosv2/jquery.mCustomScrollbar.concat.min.js	(from https://lms.kyonggi.ac.kr/login.php)
01:29:29	2562/2562	---M-Z	200	added ('OK')	application/javascript	etag:%22b3253879b9d7d8bd914386598848203d7eb6f2e0%22	https://lms.kyonggi.ac.kr/theme/jquery.php/theme_coursemosv2/jquery.headroom.min.js	/home/nse_project/lms.kyonggi.ac.kr/theme/jquery.php/theme_coursemosv2/jquery.headroom.min.js	(from https://lms.kyonggi.ac.kr/login.php)
01:29:31	28928/28928	---MCZ	200	added ('OK')	application/javascript	etag:%22cc82ff1f8d7fa03258a97220602c63da596a7d23%22	https://lms.kyonggi.ac.kr/lib/javascript.php/1693408461/lib/javascript-static.js	/home/nse_project/lms.kyonggi.ac.kr/lib/javascript.php/1693408461/lib/javascript.php	(from https://lms.kyonggi.ac.kr/login.php)
01:29:31	23203/23203	---M-Z	200	added ('OK')	application/javascript	etag:%22f7093e80c2858b5f47d3e860b974a30c59d8e447%22	https://lms.kyonggi.ac.kr/theme/javascript.php/coursemosv2/1693408461/head	/home/nse_project/lms.kyonggi.ac.kr/theme/javascript.php/coursemosv2/1693408461/javascript.php	(from https://lms.kyonggi.ac.kr/login.php)
01:29:32	6149/6149	---M--	200	added ('OK')	application/javascript	etag:%221805-56ef5b94a4cef%22	https://lms.kyonggi.ac.kr/theme/coursemosv2/jquery/jquery.dotdotdot.min.js	/home/nse_project/lms.kyonggi.ac.kr/theme/coursemosv2/jquery/jquery.dotdotdot.min.js	(from https://lms.kyonggi.ac.kr/login.php)
01:29:33	32971/32971	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Nov%202023%2006:29:06%20GMT	https://lms.kyonggi.ac.kr/mod/ubboard/view.php?id=1	/home/nse_project/lms.kyonggi.ac.kr/mod/ubboard/view681a.php	(from https://lms.kyonggi.ac.kr/login.php)
01:29:34	32966/32966	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Nov%202023%2006:29:07%20GMT	https://lms.kyonggi.ac.kr/mod/ubboard/view.php?id=2	/home/nse_project/lms.kyonggi.ac.kr/mod/ubboard/view0b30.php	(from https://lms.kyonggi.ac.kr/login.php)
01:29:35	52218/52218	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Nov%202023%2006:29:08%20GMT	https://lms.kyonggi.ac.kr/login/register_agree.php	/home/nse_project/lms.kyonggi.ac.kr/login/register_agree.html	(from https://lms.kyonggi.ac.kr/login.php)
01:29:36	30249/30249	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Nov%202023%2006:29:09%20GMT	https://lms.kyonggi.ac.kr/login/forgot_password.php	/home/nse_project/lms.kyonggi.ac.kr/login/forgot_password.html	(from https://lms.kyonggi.ac.kr/login.php)
01:29:37	34647/34647	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Nov%202023%2006:29:10%20GMT	https://lms.kyonggi.ac.kr/login.php?lang=en	/home/nse_project/lms.kyonggi.ac.kr/login9ed2.html	(from https://lms.kyonggi.ac.kr/login.php)
01:29:38	1450/1450	---M--	200	added ('OK')	image/png	etag:%225c5d66509b566dfae761654c6ffc436dc752f0f4%22	https://lms.kyonggi.ac.kr/theme/image.php/coursemosv2/theme_coursemosv2/1693408461/flag/en	/home/nse_project/lms.kyonggi.ac.kr/theme/image.php/coursemosv2/theme_coursemosv2/1693408461/flag/en.png	(from https://lms.kyonggi.ac.kr/login.php)
